,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
360,cururupu,88.0,BR,1551812806,92.0,-1.82,-44.87,27.08,1.94
361,hami,24.0,CN,1551812807,39.0,42.84,93.51,3.76,5.49
362,aleksandrovsk-sakhalinskiy,20.0,RU,1551812807,81.0,50.9,142.16,-12.44,2.84
363,nioro,44.0,GM,1551812808,15.0,13.79,-15.05,35.66,2.34
364,mananara,,,nan,,,,,
365,amapa,20.0,HN,1551812400,41.0,15.09,-87.97,33.0,6.2
366,constitucion,5.0,MX,1551812416,15.0,23.99,-104.67,24.44,2.1
367,tautira,75.0,PF,1551812590,74.0,-17.73,-149.15,28.0,3.1
368,kamenskoye,,,nan,,,,,
369,along,88.0,IN,1551812812,95.0,28.17,94.8,10.23,0.74
370,pingdingshan,36.0,CN,1551812812,85.0,33.74,113.3,5.64,1.24
371,sao geraldo do araguaia,88.0,BR,1551812812,90.0,-6.4,-48.55,26.41,1.24
372,taoudenni,0.0,ML,1551812812,12.0,22.68,-3.98,25.66,3.34
373,steamboat springs,75.0,US,1551810900,62.0,40.48,-106.83,-5.0,1.84
374,mikhaylovka,44.0,RU,1551812816,80.0,52.96,103.29,-6.15,0.89
375,gat,0.0,SN,1551810600,21.0,14.69,-16.54,29.0,7.7
376,fort nelson,90.0,CA,1551808800,77.0,58.81,-122.69,-15.0,2.6
377,cassia,90.0,US,1551812803,71.0,28.89,-81.47,15.0,4.6
378,itapecerica,24.0,BR,1551812531,91.0,-20.47,-45.13,25.83,2.54
379,bacuit,,,nan,,,,,
380,antalaha,68.0,MG,1551812822,94.0,-14.9,50.28,26.11,2.09
381,shache,0.0,CN,1551812455,43.0,38.42,77.24,3.89,0.89
382,henties bay,0.0,NA,1551812525,91.0,-22.12,14.28,20.0,4.47
383,bolungarvik,,,nan,,,,,
384,ust-maya,48.0,RU,1551812830,72.0,60.42,134.54,-24.02,1.19
385,chavakkad,20.0,IN,1551810600,83.0,10.53,76.05,27.0,2.59
386,hervey bay,40.0,AU,1551812708,88.0,-25.3,152.85,23.33,3.1
387,pimentel,80.0,BR,1551812831,78.0,-3.7,-45.5,28.46,1.79
388,baherden,92.0,TM,1551812672,91.0,38.44,57.43,8.23,1.24
389,mikhaylovskoye,12.0,RU,1551812831,79.0,43.1,44.64,-2.37,0.99
390,arman,8.0,RU,1551812831,45.0,59.7,150.17,-22.3,1.74
391,vardo,1.0,US,1551812763,36.0,39.62,-77.74,4.0,4.6
392,havoysund,40.0,NO,1551810000,73.0,71.0,24.66,-7.0,6.2
393,fairbanks,75.0,US,1551812730,84.0,64.84,-147.72,-6.11,1.5
394,tonj,,,nan,,,,,
395,concordia,90.0,AR,1551812212,74.0,-31.4,-58.02,27.0,3.6
396,banfora,0.0,BF,1551812834,19.0,10.64,-4.75,33.73,2.79
397,kichera,8.0,RU,1551812834,56.0,55.93,110.1,-17.17,0.99
398,haapiti,75.0,PF,1551812590,74.0,-17.57,-149.87,28.0,3.1
399,bonanza,36.0,NI,1551812839,76.0,14.03,-84.62,27.01,1.69
400,hay river,20.0,CA,1551808800,84.0,60.82,-115.79,-15.0,2.6
401,katsiveli,,,nan,,,,,
402,sri aman,88.0,MY,1551808800,94.0,1.24,111.46,24.0,1.0
403,ujkigyos,0.0,HU,1551810600,45.0,46.58,21.03,9.0,2.6
404,tokur,0.0,RU,1551812840,54.0,53.13,132.9,-18.87,1.69
405,alofi,56.0,NU,1551808800,78.0,-19.06,-169.92,25.0,5.7
406,cabra,56.0,ES,1551812815,87.0,37.47,-4.43,18.33,1.5
407,zverinogolovskoye,0.0,RU,1551812841,56.0,54.46,64.85,-16.27,1.49
408,canutama,88.0,BR,1551812842,75.0,-6.53,-64.38,29.91,1.89
409,burley,20.0,US,1551808380,58.0,42.54,-113.79,1.0,6.7
410,khurianwala,,,nan,,,,,
411,cobija,75.0,BR,1551808800,63.0,-11.02,-68.77,33.0,3.1
412,turochak,56.0,RU,1551812843,91.0,52.26,87.12,-5.92,0.99
413,waingapu,36.0,ID,1551812843,100.0,-9.65,120.26,23.01,1.14
414,barsovo,40.0,RU,1551810600,92.0,61.17,73.17,-13.0,3.0
415,rawson,12.0,AR,1551812844,25.0,-43.3,-65.11,23.23,7.74
416,esmeraldas,40.0,BR,1551808800,45.0,-19.76,-44.31,31.0,5.7
417,beringovskiy,12.0,RU,1551812844,92.0,63.05,179.32,-9.55,0.49
418,sorland,40.0,NO,1551811800,68.0,67.67,12.69,-1.0,9.3
419,broome,0.0,GB,1551812828,65.0,52.47,1.45,9.44,3.1
420,chapais,75.0,CA,1551808800,55.0,49.78,-74.86,-14.0,4.6
421,mabaruma,76.0,GY,1551812845,71.0,8.2,-59.78,27.98,4.19
422,khorixas,8.0,NA,1551812845,30.0,-20.37,14.96,28.48,4.74
423,san quintin,12.0,PH,1551812845,79.0,17.54,120.52,17.48,1.39
424,ahipara,0.0,NZ,1551812625,100.0,-35.17,173.16,13.33,2.29
425,collie,64.0,AU,1551812713,35.0,-33.36,116.15,15.56,7.34
426,palmer,1.0,US,1551812827,68.0,61.6,-149.11,-2.78,2.6
427,utiroa,,,nan,,,,,
428,vavatenina,100.0,MG,1551812847,98.0,-17.47,49.2,21.06,1.09
429,aleksandrov gay,76.0,RU,1551812847,91.0,50.14,48.57,2.76,6.64
430,trairi,24.0,BR,1551812570,100.0,-3.28,-39.27,27.33,3.89
431,stepnyak,48.0,KZ,1551812848,89.0,52.83,70.79,-4.52,6.19
432,lolua,,,nan,,,,,
433,vao,68.0,EE,1551812848,72.0,59.1,26.19,-6.67,6.64
434,bargal,,,nan,,,,,
435,ojinaga,1.0,US,1551812430,37.0,29.56,-104.41,12.22,2.6
436,madinat sittah uktubar,40.0,EG,1551812575,71.0,29.82,31.05,14.0,1.5
437,oktyabrskoye,0.0,RU,1551812718,67.0,56.73,85.44,-5.57,6.0
438,raymond,1.0,US,1551812846,38.0,43.04,-71.18,-0.57,3.1
439,tayibe,,,nan,,,,,
440,diffa,0.0,NE,1551812853,18.0,13.32,12.61,30.21,3.69
441,jacareacanga,40.0,BR,1551808800,83.0,-6.22,-57.76,28.0,2.6
442,karaul,,,nan,,,,,
443,pampierstad,36.0,ZA,1551812637,26.0,-27.78,24.69,26.89,2.79
444,nanning,40.0,CN,1551808800,77.0,22.83,108.3,18.0,5.0
445,tacuarembo,88.0,UY,1551812854,89.0,-31.73,-55.98,25.58,1.89
446,romitan,0.0,UZ,1551810600,66.0,39.93,64.38,9.0,5.1
447,la macarena,56.0,CO,1551812854,65.0,2.18,-73.79,28.48,0.99
448,ipua,88.0,BR,1551812855,94.0,-20.44,-48.01,25.73,1.64
449,mao,40.0,DO,1551812747,43.0,19.55,-71.08,32.22,8.2
450,waimana,0.0,NZ,1551807685,91.0,-38.14,177.08,15.0,0.45
451,mumford,56.0,GH,1551812857,76.0,5.26,-0.76,29.48,5.19
452,carballo,20.0,ES,1551812854,87.0,43.21,-8.69,15.56,8.2
453,aasiaat,0.0,GL,1551812859,100.0,68.71,-52.87,-8.84,4.94
454,kosovo polje,0.0,BA,1551810600,93.0,43.8,19.29,3.0,1.0
455,orlik,0.0,RU,1551812860,55.0,52.51,99.83,-16.8,0.89
456,cayenne,92.0,GF,1551810600,62.0,4.94,-52.33,30.0,6.2
457,yerbogachen,20.0,RU,1551812861,69.0,61.28,108.01,-6.3,3.94
458,kirovskiy,32.0,RU,1551812861,82.0,45.09,133.51,-4.37,1.24
459,puerto escondido,5.0,MX,1551807660,66.0,15.86,-97.07,29.0,2.6
460,kattivakkam,20.0,IN,1551810600,83.0,13.22,80.32,29.0,2.6
461,gerash,0.0,IR,1551808800,47.0,27.67,54.14,13.0,2.1
462,bundaberg,40.0,AU,1551812708,88.0,-24.87,152.35,23.33,3.1
463,portland,1.0,US,1551812734,43.0,45.52,-122.67,5.56,3.1
464,bathsheba,20.0,BB,1551808800,58.0,13.22,-59.52,29.0,10.3
465,buala,92.0,SB,1551812864,88.0,-8.15,159.59,28.23,3.54
466,san ramon de la nueva oran,48.0,AR,1551812865,75.0,-23.13,-64.33,28.39,4.24
467,bimbo,20.0,CF,1551808800,61.0,4.33,18.53,28.0,1.5
468,batasan,75.0,PH,1551812848,78.0,14.89,120.71,26.0,1.0
469,tateyama,76.0,JP,1551812480,53.0,36.66,137.31,10.0,3.58
470,vung tau,8.0,VN,1551812867,100.0,10.35,107.08,25.16,3.69
471,calabozo,0.0,VE,1551812867,38.0,8.92,-67.43,35.46,6.59
472,udachnyy,80.0,RU,1551812867,79.0,66.42,112.4,-7.44,2.59
473,poum,20.0,MK,1551812868,77.0,41.28,20.71,3.98,1.49
474,bhag,0.0,PK,1551812668,83.0,29.04,67.82,14.76,1.59
475,macamic,75.0,CA,1551808800,55.0,48.75,-79.0,-14.0,5.7
476,salinopolis,64.0,BR,1551812874,100.0,-0.61,-47.36,26.51,1.74
477,ilulissat,40.0,GL,1551808200,52.0,69.22,-51.1,-8.0,4.6
478,kochubey,8.0,RU,1551812875,80.0,44.39,46.54,2.89,5.74
479,gaoua,0.0,BF,1551812877,17.0,10.33,-3.18,34.56,2.24
480,newport,90.0,GB,1551812681,93.0,51.59,-3.0,10.0,5.1
481,leh,68.0,IN,1551812886,76.0,34.16,77.58,-21.27,0.24
482,auki,0.0,NG,1551812886,26.0,12.18,6.51,29.26,1.89
483,lahad datu,44.0,MY,1551812887,98.0,5.02,118.33,24.73,1.44
484,ixtapa,5.0,MX,1551812709,65.0,20.71,-105.21,26.0,4.1
485,shimoda,80.0,JP,1551812539,83.0,34.7,138.93,7.22,1.99
486,nazareno,40.0,MX,1551812597,42.0,25.4,-103.42,17.78,1.5
487,ozu,92.0,JP,1551812891,71.0,33.51,132.54,10.56,1.79
488,tazovskiy,88.0,RU,1551812893,78.0,67.47,78.7,-15.52,7.04
489,buritizeiro,8.0,BR,1551812893,48.0,-17.37,-44.96,32.56,2.44
490,port keats,48.0,AU,1551812894,80.0,-14.25,129.55,29.16,1.54
491,clyde river,75.0,CA,1551808800,83.0,70.47,-68.59,-21.0,2.1
492,virginia beach,90.0,US,1551812756,59.0,36.85,-75.98,5.0,3.1
493,tulun,0.0,RU,1551812897,91.0,54.56,100.58,-0.9,2.34
494,idaho falls,75.0,US,1551812764,74.0,43.49,-112.04,-0.57,6.2
495,labuhan,76.0,ID,1551812897,95.0,-2.54,115.51,22.86,0.64
496,camacha,40.0,PT,1551810600,77.0,33.08,-16.33,18.0,7.7
497,chingirlau,88.0,KZ,1551812900,92.0,51.09,54.08,-0.44,4.49
498,manbij,75.0,SY,1551810000,81.0,36.53,37.96,9.0,3.1
499,diofior,0.0,SN,1551810600,21.0,14.19,-16.66,38.0,7.7
500,gravdal,75.0,NO,1551812884,93.0,59.79,5.78,4.44,7.2
501,pangnirtung,90.0,CA,1551809460,84.0,66.15,-65.72,-19.0,3.1
502,mafinga,,,nan,,,,,
503,tumannyy,,,nan,,,,,
504,bajo baudo,,,nan,,,,,
505,basco,75.0,US,1551812864,53.0,40.33,-91.2,-5.57,5.7
506,liverpool,0.0,GB,1551812644,75.0,53.41,-2.98,10.56,2.1
507,pringsewu,92.0,ID,1551812904,95.0,-5.36,104.98,22.73,1.14
508,otukpo,48.0,NG,1551812905,85.0,7.19,8.13,28.91,1.44
509,dawson creek,90.0,CA,1551810960,77.0,55.76,-120.23,-12.0,1.29
510,emmett,1.0,US,1551812722,44.0,43.87,-116.5,6.67,8.2
511,rancho palos verdes,20.0,US,1551812669,52.0,33.75,-118.37,18.89,2.39
512,rock sound,0.0,BS,1551812853,96.0,24.9,-76.2,26.33,4.59
513,jaque,,,nan,,,,,
514,mujiayingzi,88.0,CN,1551812854,74.0,42.12,118.78,-2.8,4.69
515,zeya,36.0,RU,1551812907,67.0,53.74,127.27,-12.8,1.74
516,elizabethton,40.0,US,1551812892,43.0,36.35,-82.21,2.78,6.7
517,siavonga,44.0,ZW,1551812909,59.0,-16.54,28.71,29.16,1.89
518,hovd,0.0,NO,1551812702,67.0,63.83,10.7,-5.57,5.1
519,san marcos,20.0,GT,1551812472,59.0,14.97,-91.79,33.0,3.1
520,langarud,0.0,IR,1551808800,93.0,37.2,50.15,9.0,2.99
521,kindu,48.0,CD,1551812914,81.0,-2.95,25.92,25.91,0.79
522,berlevag,40.0,NO,1551808200,57.0,70.86,29.09,-6.0,7.7
523,banjar,92.0,ID,1551812915,95.0,-7.37,108.54,22.33,1.04
524,juneau,1.0,US,1551811980,50.0,58.3,-134.42,0.0,1.5
525,teahupoo,75.0,PF,1551812590,74.0,-17.83,-149.27,28.0,3.1
526,anadyr,0.0,RU,1551812594,85.0,64.73,177.51,-7.0,5.0
527,patterson,1.0,US,1551812640,36.0,29.69,-91.3,9.44,3.6
528,fare,0.0,PF,1551812916,98.0,-16.7,-151.02,28.61,2.94
529,elmina,68.0,GH,1551812917,95.0,5.09,-1.35,28.89,6.74
530,kautokeino,24.0,NO,1551812917,75.0,69.01,23.04,-15.74,3.14
531,dzhusaly,,,nan,,,,,
532,onguday,8.0,RU,1551812917,62.0,50.75,86.14,-10.94,1.09
533,kassala,0.0,SD,1551812917,23.0,15.45,36.38,26.58,4.74
534,kaeo,0.0,NZ,1551812885,93.0,-35.1,173.78,13.33,1.59
535,mitu,0.0,IR,1551812918,82.0,36.2,46.09,-4.24,0.79
536,solnechnyy,36.0,RU,1551812918,79.0,50.72,136.64,-14.27,1.19
537,nanzhou,75.0,TW,1551812698,94.0,22.49,120.51,23.0,1.0
538,nouadhibou,0.0,MR,1551808800,72.0,20.93,-17.03,20.0,8.2
539,uthal,0.0,PK,1551812919,78.0,25.81,66.62,16.41,2.34
540,athabasca,12.0,CA,1551812721,84.0,54.72,-113.29,-13.42,3.94
541,talcahuano,0.0,CL,1551808800,42.0,-36.72,-73.12,20.0,7.2
542,faya,0.0,SA,1551808800,77.0,18.39,42.45,16.0,2.6
543,kavaratti,0.0,IN,1551812920,100.0,10.57,72.64,27.64,5.14
544,fortuna,20.0,ES,1551812908,87.0,38.18,-1.13,19.0,3.6
545,sinop,0.0,TR,1551808200,70.0,42.03,35.15,6.11,1.5
546,jieshi,92.0,CN,1551812921,100.0,22.82,115.83,19.96,1.24
547,union,1.0,US,1551812902,30.0,47.36,-123.1,6.67,1.14
548,nisia floresta,75.0,BR,1551812400,66.0,-6.09,-35.21,30.0,7.7
549,bataipora,20.0,BR,1551812922,75.0,-22.3,-53.27,29.89,3.44
550,samandag,,,nan,,,,,
551,sorvag,,,nan,,,,,
552,santa eulalia del rio,,,nan,,,,,
553,kedzierzyn-kozle,75.0,PL,1551812692,75.0,50.35,18.23,5.0,7.2
554,male,20.0,UA,1551812923,86.0,50.74,33.7,2.41,6.89
555,tura,80.0,IN,1551812924,90.0,25.52,90.21,15.66,1.69
556,iquique,0.0,CL,1551808800,54.0,-20.22,-70.14,26.0,9.3
557,abaetetuba,40.0,BR,1551812400,78.0,-1.72,-48.88,28.0,2.6
558,alugan,100.0,PH,1551812924,92.0,12.22,125.48,25.86,5.49
559,pacifica,90.0,US,1551812923,93.0,37.61,-122.49,12.22,5.7
560,kapustin yar,8.0,RU,1551812925,77.0,48.58,45.77,4.08,6.74
561,bay city,75.0,US,1551812892,52.0,43.59,-83.89,-8.0,7.2
562,abaza,56.0,RU,1551812925,73.0,52.65,90.1,-7.42,0.89
563,mergui,,,nan,,,,,
564,contai,0.0,IN,1551812926,100.0,21.78,87.75,23.14,3.89
565,coari,36.0,BR,1551812926,73.0,-4.09,-63.14,30.71,2.89
566,nampula,75.0,MZ,1551808800,94.0,-15.12,39.26,24.0,5.1
567,mulchen,0.0,CL,1551808800,38.0,-37.72,-72.23,24.0,5.1
568,ardakan,0.0,IR,1551810600,27.0,32.31,54.02,10.0,2.1
569,nybro,75.0,SE,1551812570,100.0,56.75,15.91,-1.0,2.1
570,sungaipenuh,76.0,ID,1551812927,95.0,-2.08,101.38,19.08,0.34
571,quimper,90.0,FR,1551812636,81.0,48.0,-4.1,11.67,8.2
572,tahoua,0.0,NE,1551808800,14.0,14.89,5.26,34.0,1.29
573,dera ghazi khan,0.0,PK,1551812928,72.0,30.03,70.64,14.06,1.34
574,wasilla,1.0,US,1551812767,68.0,61.58,-149.44,-2.78,2.6
575,makat,44.0,KZ,1551812929,93.0,47.65,53.35,-0.77,3.84
576,el higo,92.0,MX,1551812929,100.0,21.77,-98.45,11.31,3.19
577,narsaq,75.0,GL,1551808200,46.0,60.91,-46.05,-2.0,1.39
578,hope,90.0,CA,1551812784,42.0,49.38,-121.43,3.33,5.7
579,vanimo,68.0,PG,1551812930,100.0,-2.67,141.3,27.36,4.89
580,agirish,0.0,RU,1551812931,54.0,61.92,63.02,-18.27,2.24
581,palabuhanratu,,,nan,,,,,
582,ulundi,76.0,ZA,1551812931,95.0,-28.29,31.43,19.14,1.09
583,chikwawa,92.0,MW,1551812931,99.0,-16.03,34.79,22.58,2.89
584,inhambane,20.0,MZ,1551808800,78.0,-23.87,35.38,28.0,3.1
585,puerto carreno,20.0,CO,1551812926,92.0,6.19,-67.49,27.16,1.54
586,labytnangi,0.0,RU,1551812932,61.0,66.66,66.39,-22.02,2.99
587,guiyang,90.0,CN,1551808800,87.0,26.58,106.71,8.0,3.0
588,mount isa,90.0,AU,1551810600,73.0,-20.73,139.49,23.0,1.24
589,la ronge,90.0,CA,1551808800,71.0,55.1,-105.3,-15.0,7.7
590,nishinomiya,80.0,JP,1551812658,81.0,34.77,135.32,10.0,3.1
591,raga,,,nan,,,,,
592,araouane,0.0,ML,1551812934,14.0,18.9,-3.53,26.61,2.24
593,daru,0.0,SL,1551812934,26.0,7.99,-10.85,35.83,2.09
594,sibu,75.0,MY,1551808800,94.0,2.29,111.83,24.0,1.5
595,mayskiy,12.0,RU,1551808800,60.0,43.63,44.06,5.0,2.0
596,bilibino,92.0,RU,1551812936,74.0,68.06,166.44,-20.14,1.09
597,hokitika,88.0,NZ,1551812936,98.0,-42.72,170.96,16.73,2.59
598,maksi,88.0,LV,1551812936,96.0,56.95,27.73,-2.19,9.74
599,lumphat,0.0,KH,1551812936,68.0,13.5,106.97,25.46,1.64
600,belyy yar,0.0,RU,1551810600,58.0,53.6,91.39,-1.0,3.0
601,tocopilla,8.0,CL,1551812937,73.0,-22.09,-70.2,22.39,2.99
602,djambala,20.0,CG,1551812937,85.0,-2.55,14.76,23.81,4.79
603,viedma,24.0,AR,1551812937,24.0,-40.81,-62.99,23.51,7.39
604,pangody,68.0,RU,1551812937,76.0,65.85,74.49,-15.24,4.74
605,brezice,0.0,SI,1551812919,81.0,45.9,15.59,8.89,2.1
606,koupela,0.0,BF,1551812938,18.0,12.18,-0.35,32.83,3.29
607,saurimo,80.0,AO,1551812938,80.0,-9.66,20.4,23.06,1.69
608,trybukhivtsi,75.0,UA,1551812743,75.0,49.04,25.46,6.67,3.0
609,koshurnikovo,20.0,RU,1551812939,67.0,54.3,93.39,-6.55,1.94
610,forio,20.0,IT,1551812930,71.0,40.73,13.86,13.33,2.1
611,say,0.0,NE,1551808800,5.0,13.1,2.36,35.0,1.5
612,piracanjuba,76.0,BR,1551812942,92.0,-17.3,-49.02,26.33,2.34
613,adrar,0.0,DZ,1551808800,10.0,27.87,-0.29,27.0,5.1
614,nyazepetrovsk,0.0,RU,1551812943,77.0,56.06,59.6,-7.84,2.29
615,dongsheng,32.0,CN,1551812943,85.0,29.72,112.52,6.36,1.24
616,milyutinskaya,12.0,RU,1551812944,83.0,48.63,41.67,2.83,6.74
617,salta,75.0,AR,1551808800,61.0,-24.79,-65.41,29.0,5.1
618,lang son,92.0,VN,1551812945,99.0,21.83,106.73,19.11,1.74
619,neiafu,75.0,TO,1551808800,100.0,-18.65,-173.98,23.0,8.94
620,kushiro,48.0,JP,1551812946,59.0,43.11,144.15,-6.62,2.79
621,lingao,0.0,CN,1551812947,99.0,19.91,109.69,21.23,1.89
622,dawlatabad,80.0,AF,1551812947,69.0,36.41,64.91,9.58,2.29
623,livingstone,8.0,ZW,1551812947,41.0,-17.85,25.86,27.26,2.24
624,maniitsoq,76.0,GL,1551812948,89.0,65.42,-52.9,-4.3,2.89
625,kupang,8.0,ID,1551812948,100.0,-10.16,123.6,26.16,1.74
626,bom jesus,80.0,BR,1551812949,93.0,-9.08,-44.36,25.76,2.04
627,thyolo,92.0,MW,1551812950,97.0,-16.07,35.15,20.83,2.84
628,bucerias,5.0,MX,1551812709,65.0,20.76,-105.33,26.0,4.1
629,geraldton,90.0,CA,1551808800,59.0,49.72,-86.95,-16.0,5.1
630,amnat charoen,0.0,TH,1551812950,83.0,15.86,104.63,24.16,1.34
631,vlakhokerasea,,,nan,,,,,
632,baie-comeau,1.0,CA,1551812725,31.0,49.22,-68.15,-7.0,6.2
633,valentin gomez farias,5.0,MX,1551812416,15.0,24.05,-104.7,24.44,2.1
634,puerto del rosario,0.0,ES,1551810600,72.0,28.5,-13.86,20.0,3.6
635,swinoujscie,75.0,PL,1551812725,80.0,53.91,14.25,6.11,4.1
636,mocuba,92.0,MZ,1551812952,97.0,-16.84,36.99,23.08,2.64
637,kabalo,32.0,CD,1551812952,75.0,-6.05,26.92,25.39,3.49
638,dien bien,,,nan,,,,,
639,monroe,90.0,US,1551812922,67.0,41.91,-83.4,-6.67,8.2
640,kieta,0.0,PG,1551812953,98.0,-6.22,155.63,25.56,1.24
641,scarborough,56.0,GB,1551812943,61.0,54.28,-0.41,10.0,6.2
642,gurgan,,,nan,,,,,
643,tucuman,0.0,PE,1551812954,63.0,-17.17,-70.89,22.46,1.89
644,halifax,75.0,CA,1551812717,58.0,44.65,-63.58,-0.57,6.2
645,wawa,0.0,NG,1551812954,27.0,9.9,4.41,33.41,1.89
646,leningradskiy,92.0,RU,1551812955,93.0,69.38,178.42,-12.05,5.19
647,sayyan,0.0,YE,1551812955,63.0,15.17,44.32,13.33,1.74
648,peniche,75.0,PT,1551812707,87.0,39.36,-9.38,17.0,9.3
649,glasgow,90.0,GB,1551812836,93.0,55.86,-4.24,6.0,1.0
650,fort saint john,,,nan,,,,,
651,springbok,0.0,ZA,1551812956,32.0,-29.67,17.88,25.23,2.04
652,doha,0.0,QA,1551808800,59.0,25.29,51.53,20.0,2.6
653,valenca,32.0,BR,1551812957,66.0,-13.37,-39.07,29.83,3.89
654,asau,,,nan,,,,,
655,verkhnyaya inta,0.0,RU,1551812957,55.0,65.99,60.32,-18.52,1.34
656,barguzin,64.0,RU,1551812958,69.0,53.62,109.63,-13.92,0.89
657,lazaro cardenas,75.0,MX,1551808020,35.0,28.39,-105.62,18.0,3.1
658,wunsiedel,75.0,DE,1551812950,93.0,50.04,12.0,3.89,4.6
659,sampit,92.0,ID,1551812958,98.0,-2.54,112.95,22.51,2.09
660,porbandar,0.0,IN,1551812959,78.0,21.64,69.61,20.96,5.29
661,fukue,75.0,JP,1551812735,76.0,35.03,136.69,12.22,1.5
662,curumani,8.0,CO,1551812959,58.0,9.2,-73.54,31.89,0.99
663,punta alta,75.0,AR,1551812400,74.0,-27.46,-55.82,35.0,5.1
664,tsogni,44.0,GA,1551812960,100.0,-2.79,10.1,26.61,2.09
665,cascais,75.0,PT,1551812790,93.0,38.7,-9.42,17.0,8.2
666,dalvik,75.0,SE,1551812705,100.0,57.79,14.13,-1.11,3.1
667,bukavu,20.0,CD,1551812960,100.0,-2.51,28.86,17.23,0.84
668,mago,56.0,RU,1551812961,69.0,53.27,140.15,-13.9,1.44
669,acapulco,5.0,MX,1551807600,66.0,16.86,-99.88,29.0,2.6
670,snasa,0.0,NO,1551810000,67.0,64.25,12.38,-7.0,5.1
671,umm kaddadah,8.0,SD,1551812962,20.0,13.6,26.69,25.96,5.29
672,pafos,,,nan,,,,,
673,villamontes,20.0,BO,1551808800,53.0,-21.26,-63.47,35.0,1.64
674,sola,75.0,NO,1551812887,86.0,58.89,5.65,3.89,5.1
675,pervomayskiy,92.0,RU,1551812965,92.0,53.24,40.29,1.41,7.99
676,sandakan,75.0,MY,1551808800,88.0,5.84,118.12,27.0,1.5
677,erenhot,0.0,CN,1551812965,62.0,43.65,111.97,-8.15,4.44
678,horodkivka,0.0,UA,1551812965,76.0,49.91,28.98,4.14,7.64
679,cockburn town,0.0,TC,1551812966,96.0,21.46,-71.14,26.06,6.64
680,sur,0.0,OM,1551812966,100.0,22.57,59.53,20.36,1.64
681,svit,20.0,SK,1551812959,55.0,49.06,20.2,4.0,9.8
682,agadez,0.0,NE,1551808800,16.0,16.97,7.99,29.0,5.1
683,vicuna,,,nan,,,,,
684,avera,1.0,US,1551812963,46.0,33.19,-82.53,11.11,5.1
685,ordubad,75.0,AZ,1551810600,80.0,38.91,46.02,5.0,1.0
686,vilyuysk,76.0,RU,1551812969,86.0,63.75,121.63,-9.44,2.24
687,el faiyum,,,nan,,,,,
688,grindavik,20.0,IS,1551812956,86.0,63.84,-22.43,1.0,3.1
689,inderborskiy,,,nan,,,,,
690,parana,75.0,BR,1551812400,59.0,-7.52,-72.89,34.0,4.1
691,sidi ali,0.0,DZ,1551812970,73.0,36.1,0.42,15.51,0.64
692,dukat,92.0,RS,1551812890,67.0,42.44,22.31,10.56,0.89
693,bay roberts,75.0,CA,1551812905,74.0,47.58,-53.28,-0.57,14.4
694,sapozhok,92.0,RU,1551812943,97.0,53.94,40.68,1.67,2.24
695,balma,0.0,FR,1551812879,41.0,43.61,1.51,15.0,4.6
696,truth or consequences,1.0,US,1551812416,30.0,33.13,-107.25,17.22,2.1
697,purranque,75.0,CL,1551808800,52.0,-40.91,-73.16,19.0,3.6
698,san felipe,0.0,CL,1551812944,23.0,-32.75,-70.73,31.67,0.89
699,prainha,8.0,BR,1551812973,71.0,-1.8,-53.48,29.76,1.49
700,omboue,56.0,GA,1551812973,100.0,-1.57,9.26,27.41,3.74
701,kasongo,56.0,CD,1551812974,93.0,-4.43,26.67,22.21,1.09
702,tecpan,75.0,GT,1551812472,44.0,14.76,-90.99,26.0,10.3
703,tual,80.0,ID,1551812974,99.0,-5.67,132.75,28.76,3.79
704,djibo,0.0,BF,1551812974,15.0,14.1,-1.63,30.91,2.89
705,ukiah,90.0,US,1551812908,87.0,39.15,-123.21,11.67,1.5
706,los angeles,20.0,US,1551812608,52.0,34.05,-118.24,18.89,0.84
707,san jose,0.0,PH,1551812976,94.0,15.79,120.99,17.21,0.89
708,maltahohe,92.0,NA,1551812976,15.0,-24.83,16.98,30.21,1.54
709,santo antonio do monte,88.0,BR,1551812976,61.0,-20.09,-45.29,28.46,2.44
710,aksu,0.0,KZ,1551810600,78.0,52.04,76.93,-8.0,3.0
711,bitung,40.0,ID,1551810600,100.0,1.44,125.19,23.0,0.5
712,cap malheureux,40.0,MU,1551812945,78.0,-19.98,57.61,27.0,3.6
713,manokwari,80.0,ID,1551812977,100.0,-0.87,134.08,25.16,3.79
714,linfen,0.0,CN,1551812978,66.0,36.09,111.52,-1.15,1.74
715,hammerfest,90.0,NO,1551810000,85.0,70.66,23.68,-3.0,12.3
716,vostok,64.0,RU,1551812979,84.0,46.45,135.83,-5.27,0.94
717,boizenburg,20.0,DE,1551812953,75.0,53.38,10.72,6.0,1.5
718,laredo,75.0,US,1551812704,31.0,27.51,-99.51,10.0,5.7
719,tabiauea,,,nan,,,,,
720,balabac,0.0,PH,1551812980,98.0,7.99,117.06,27.31,6.74
721,batetskiy,92.0,RU,1551812980,85.0,58.65,30.3,-3.74,5.39
722,atar,0.0,MR,1551812981,10.0,20.52,-13.05,30.08,1.49
723,vinh long,20.0,VN,1551810600,100.0,10.25,105.97,22.0,0.5
724,orapa,44.0,BW,1551812981,35.0,-21.28,25.37,29.41,4.14
725,micheweni,0.0,TZ,1551812981,100.0,-4.97,39.83,29.23,5.69
726,kargasok,48.0,RU,1551812982,67.0,59.06,80.87,-6.27,3.59
